chr17-3040000	chr17	3040000	3050000	+	6.97380639775489
chr17-3050000	chr17	3050000	3060000	+	23.3749746211674
chr17-3060000	chr17	3060000	3070000	+	39.3146129706983
chr17-3070000	chr17	3070000	3080000	+	60.3412046475913
chr17-3080000	chr17	3080000	3090000	+	69.3530355582591
chr17-3090000	chr17	3090000	3100000	+	73.5137242389847
chr17-3100000	chr17	3100000	3110000	+	78.8350199320089
chr17-3110000	chr17	3110000	3120000	+	79.6336523773429
chr17-3120000	chr17	3120000	3130000	+	80.8482945370783
chr17-3130000	chr17	3130000	3140000	+	80.3850023371844
chr17-3140000	chr17	3140000	3150000	+	80.3420027380437
chr17-3150000	chr17	3150000	3160000	+	79.6787165810306
chr17-3160000	chr17	3160000	3170000	+	79.264861867121
chr17-3170000	chr17	3170000	3180000	+	75.0932265688432
chr17-3180000	chr17	3180000	3190000	+	74.5684289117551
chr17-3190000	chr17	3190000	3200000	+	70.8159555046603
chr17-3200000	chr17	3200000	3210000	+	67.2695219771038
chr17-3210000	chr17	3210000	3220000	+	64.2384135943426
chr17-3220000	chr17	3220000	3230000	+	63.1196552269053
chr17-3230000	chr17	3230000	3240000	+	60.8670725363578
chr17-3240000	chr17	3240000	3250000	+	59.9307655976678
chr17-3250000	chr17	3250000	3260000	+	55.7100572317577
chr17-3260000	chr17	3260000	3270000	+	53.6807127721996
chr17-3270000	chr17	3270000	3280000	+	53.1825320192363
chr17-3280000	chr17	3280000	3290000	+	54.1917908336894
chr17-3290000	chr17	3290000	3300000	+	47.2556918011116
chr17-3300000	chr17	3300000	3310000	+	41.471214288676
chr17-3310000	chr17	3310000	3320000	+	37.1940729688145
chr17-3320000	chr17	3320000	3330000	+	32.12623916201
chr17-3330000	chr17	3330000	3340000	+	32.1880831551575
chr17-3340000	chr17	3340000	3350000	+	24.6706958825519
chr17-3350000	chr17	3350000	3360000	+	25.919366793019
chr17-3360000	chr17	3360000	3370000	+	24.5570315084296
chr17-3370000	chr17	3370000	3380000	+	19.797834698639
chr17-3380000	chr17	3380000	3390000	+	15.7642444286512
chr17-3390000	chr17	3390000	3400000	+	19.4419098953553
chr17-3400000	chr17	3400000	3410000	+	23.6768443060002
chr17-3410000	chr17	3410000	3420000	+	25.4364044071007
chr17-3420000	chr17	3420000	3430000	+	28.0142000499797
chr17-3430000	chr17	3430000	3440000	+	27.5917446667952
chr17-3440000	chr17	3440000	3450000	+	34.5311002463342
chr17-3450000	chr17	3450000	3460000	+	35.9573031583424
chr17-3460000	chr17	3460000	3470000	+	35.649216495778
chr17-3470000	chr17	3470000	3480000	+	37.903683229659
chr17-3480000	chr17	3480000	3490000	+	38.7947065674428
chr17-3490000	chr17	3490000	3500000	+	42.6935859726422
chr17-3500000	chr17	3500000	3510000	+	47.5668265478121
chr17-3510000	chr17	3510000	3520000	+	52.3892034982042
chr17-3520000	chr17	3520000	3530000	+	54.5659932733813
chr17-3530000	chr17	3530000	3540000	+	55.3295457183154
chr17-3540000	chr17	3540000	3550000	+	51.5037107412444
chr17-3550000	chr17	3550000	3560000	+	45.6269227855834
chr17-3560000	chr17	3560000	3570000	+	37.8820433254657
chr17-3570000	chr17	3570000	3580000	+	32.1210806687185
